iter	Logloss
0	0.07767579419
1	0.01607153157
2	0.006484529824
3	0.004226527999
4	0.003459861083
5	0.003027733543
6	0.002806669747
7	0.002661781972
8	0.002540311151
9	0.002382463468
10	0.002275379718
11	0.002188384894
12	0.002151117235
13	0.002129747943
14	0.002077526691
15	0.002038838999
16	0.002016496689
17	0.001974103344
18	0.001939957669
19	0.001905136695
20	0.001884621989
21	0.001853295263
22	0.001817060178
23	0.001797242879
24	0.001740937592
25	0.001721607927
26	0.001687030909
27	0.001675366365
28	0.001658606612
29	0.00163357746
30	0.001612913783
31	0.001597377262
32	0.001580245851
33	0.001569230075
34	0.00154565376
35	0.001526627664
36	0.001508242043
37	0.001494569401
38	0.001483235262
39	0.001468173881
40	0.001450774785
41	0.001406151453
42	0.001400153288
43	0.001386635158
44	0.001373733024
45	0.001364887895
46	0.001349718268
47	0.001317646497
48	0.001311655987
49	0.001284170774
50	0.001258105138
51	0.001236667902
52	0.00122606568
53	0.001211685361
54	0.001205563758
55	0.001187809955
56	0.001168986495
57	0.001156485032
58	0.001152149058
59	0.001142671669
60	0.001125586041
61	0.001116349051
62	0.001108151599
63	0.001085444843
64	0.001077310826
65	0.001054430588
66	0.001047775701
67	0.00103945587
68	0.001033557977
69	0.00101348159
70	0.0009835395861
71	0.0009677487419
72	0.0009588231742
73	0.0009498227236
74	0.0009329038681
75	0.0009303430558
76	0.0009255664621
77	0.0009117582036
78	0.0009003901982
79	0.0008835499996
80	0.0008788168117
81	0.0008679712066
82	0.0008591061166
83	0.0008530872951
84	0.0008493457538
85	0.0008475744885
86	0.000839928276
87	0.0008319850684
88	0.0008308774694
89	0.0008173033847
90	0.0008114001057
91	0.0008083935942
92	0.0008046818915
93	0.0007983674662
94	0.0007935841785
95	0.0007902873458
96	0.0007816474121
97	0.000765582289
98	0.0007530758417
99	0.0007417544879
100	0.0007308820122
101	0.0007221618608
102	0.0007196451035
103	0.0007128974845
104	0.0007083748851
105	0.0007025153824
106	0.0006991029149
107	0.0006966652774
108	0.0006816048206
109	0.0006794449822
110	0.0006768662233
111	0.0006749099159
112	0.0006693956396
113	0.0006679301525
114	0.0006586549631
115	0.0006551617799
116	0.0006506330744
117	0.0006384444454
118	0.0006327498729
119	0.0006266956076
120	0.0006182930667
121	0.0006133068969
122	0.0006060425828
123	0.0005944481202
124	0.0005917375754
125	0.0005771575579
126	0.0005720514404
127	0.0005641769892
128	0.000552868038
129	0.0005479181458
130	0.0005431555164
131	0.0005386115191
132	0.0005346555488
133	0.0005296459311
134	0.0005236685526
135	0.0005156212802
136	0.0005097656559
137	0.0005083184569
138	0.0005069375593
139	0.0005050024657
140	0.0005032872806
141	0.0005027643121
142	0.0004979653962
143	0.0004891017107
144	0.0004850132439
145	0.0004796343106
146	0.0004749242689
147	0.0004741508912
148	0.0004726286713
149	0.0004682898333
150	0.0004672565675
151	0.0004638118937
152	0.0004507090918
153	0.0004423171383
154	0.0004349518067
155	0.0004342884098
156	0.0004308071748
157	0.0004301963203
158	0.000427374402
159	0.000424803632
160	0.0004206058004
161	0.0004182996809
162	0.0004154363476
163	0.0004116546594
164	0.0004060418363
165	0.0004003858749
166	0.0003945855958
167	0.0003930927636
168	0.0003895297275
169	0.0003866994051
170	0.0003835467461
171	0.0003794574501
172	0.0003749365771
173	0.0003734020909
174	0.0003695657334
175	0.0003667209186
176	0.0003639973575
177	0.0003619161701
178	0.0003600134941
179	0.0003578975072
180	0.0003500622327
181	0.0003413554376
182	0.0003392895609
183	0.0003372695661
184	0.0003329458216
185	0.0003298856548
186	0.0003236956224
